shrine	column	url	status	content_type	final_url	note	attempts	verdict
Darbar Wasif Ali Wasif	Image 8	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-08.jpg	206	image/jpeg			1	alive
Darbar Wasif Ali Wasif	Image 9	https://raufnawaz.github.io/Sufi-Shrines/photos/wasif-ali-wasif/wasif-ali-wasif-09.jpg	206	image/jpeg			1	alive
Dargah / Roza Sufi Shah Inayat Shaheed	Image 1	https://commons.wikimedia.org/wiki/Special:FilePath/Sufi_Shah_Inayat_Shaheed.png	206	image/png	https://upload.wikimedia.org/wikipedia/commons/1/16/Sufi_Shah_Inayat_Shaheed.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original		1	alive
Dargah Fateh Pur Sharif	Image 1	https://i.tribune.com.pk/media/images/1523631-fat-1507264034/1523631-fat-1507264034.jpg	206	image/jpeg			1	alive
Dargah Pir Ratan Nath Jee	Image 1	https://commons.wikimedia.org/wiki/Special:FilePath/Peshawar_Temple_Door.JPG	206	image/jpeg	https://upload.wikimedia.org/wikipedia/commons/c/c9/Peshawar_Temple_Door.JPG?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original		3	alive
Dargah of Khwaja Muhammad Zaman (Luari Sharif)	Image 1	https://commons.wikimedia.org/wiki/Special:FilePath/Tomb_of_Muhammad_Zaman_of_Luari.jpg	206	image/jpeg	https://upload.wikimedia.org/wikipedia/commons/a/ae/Tomb_of_Muhammad_Zaman_of_Luari.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original		1	alive
Dargah of Pir Muhammad Rashid (Roze Dhani), Pir Jo Goth	Image 1	https://commons.wikimedia.org/wiki/Special:FilePath/Shahi_Gate_of_Dargah_Pir_Jo_Goth,_Khairpur_Mir's.jpg	206	image/jpeg	https://upload.wikimedia.org/wikipedia/commons/a/a8/Shahi_Gate_of_Dargah_Pir_Jo_Goth%2C_Khairpur_Mir%27s.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original		3	alive
Darya Lal Mandir (Darya Lal Sankat Mochan Mandir)	Image 1	https://commons.wikimedia.org/wiki/Special:FilePath/Darya_Lal_Mandir_1.jpg	206	image/jpeg	https://upload.wikimedia.org/wikipedia/commons/3/33/Darya_Lal_Mandir_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original		1	alive
Data Darbar	Image 1	https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Data_Durbar_as_more_then_one_decade_before_by_Usman_Ghani.jpg/500px-Data_Durbar_as_more_then_one_decade_before_by_Usman_Ghani.jpg	206	image/jpeg			1	alive
Data Darbar	Image 2	https://raufnawaz.github.io/Sufi-Shrines/photos/data-darbar/data-darbar-01.jpg	206	image/jpeg			1	alive
Eidgah Sharif	Image 1	https://upload.wikimedia.org/wikipedia/commons/4/49/Eid_gah_shrine.jpg	206	image/jpeg			1	alive
Garh Maharaja (Shorkot)	Image 1	https://sultan-bahoo.com/wp-content/uploads/2021/06/WhatsApp-Image-2021-06-14-at-5.20.38-PM.jpeg	000			curl 60: curl: (60) SSL certificate problem: certificate has expired More details here: https://curl.se/docs/sslcerts.html  curl failed to verify the legitimacy of the server and therefore could not establish a secure connection to it. To learn more about this situation and how to fix it, please visit the web page mentioned above.	1	DEAD
Golra Sharif	Image 1	https://upload.wikimedia.org/wikipedia/commons/0/0c/Mausoleum_of_Meher_Ali_Shah_by_Balochlens.jpg	206	image/jpeg			3	alive
Gorakhnath (Goraknath) Temple	Image 1	https://commons.wikimedia.org/wiki/Special:FilePath/Gorakhnath_Temple_in_Peshawar_Old_City,_Pakistan.jpg	206	image/jpeg	https://upload.wikimedia.org/wikipedia/commons/7/7d/Gorakhnath_Temple_in_Peshawar_Old_City%2C_Pakistan.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original		4	alive
Gori Temple (Gori jo Mandar)	Image 1	https://commons.wikimedia.org/wiki/Special:FilePath/Ghori_Temple%2C_Tharparkar.jpg	206	image/jpeg	https://upload.wikimedia.org/wikipedia/commons/5/55/Ghori_Temple%2C_Tharparkar.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original		3	alive
